21078698,Rua ,Rio de Janeiro,RJ,Centro 
21078699,Avenida,São Paulo,SP,Ramos
21078700,Rua ,Bahia,BH,Bonsucesso
21078701,Avenida,Minas Gerais,MG,Piedade
21078702,Rua ,Rio de Janeiro,RJ,Penha
21078703,Avenida,São Paulo,SP,Olaria
21078704,Rua ,Bahia,BH,São Cristovão
21078705,Avenida,Minas Gerais,MG,Gavea
21078706,Rua ,Rio de Janeiro,RJ,Botafogo
21078707,Avenida,São Paulo,SP,Centro 
21078708,Rua ,Bahia,BH,Ramos
21078709,Avenida,Minas Gerais,MG,Bonsucesso
21078710,Rua ,Rio de Janeiro,RJ,Piedade
21078711,Avenida,São Paulo,SP,Penha
21078712,Rua ,Bahia,BH,Olaria
21078713,Avenida,Minas Gerais,MG,São Cristovão
21078714,Rua ,Rio de Janeiro,RJ,Gavea
21078715,Avenida,São Paulo,SP,Botafogo
21078716,Rua ,Bahia,BH,Vila da Penha 
21078717,Avenida,Minas Gerais,MG,Vila da Penha 
