1,21078698,Rua ,1,Casa
2,21078699,Avenida,2,Apartamento 
3,21078700,Rua ,3,Estabelecimento comercial
4,21078701,Avenida,4,Casa
5,21078702,Rua ,5,Apartamento 
6,21078703,Avenida,6,Estabelecimento comercial
7,21078704,Rua ,7,Casa
8,21078705,Avenida,8,Apartamento 
9,21078706,Rua ,9,Estabelecimento comercial
10,21078707,Avenida,10,Casa
11,21078708,Rua ,11,Apartamento 
12,21078709,Avenida,12,Estabelecimento comercial
13,21078710,Rua ,13,Casa
14,21078711,Avenida,14,Apartamento 
15,21078712,Rua ,15,Estabelecimento comercial
16,21078713,Avenida,16,Casa
17,21078714,Rua ,17,Apartamento 
18,21078715,Avenida,18,Estabelecimento comercial
19,21078716,Rua ,19,Apartamento 
20,21078717,Avenida,20,Estabelecimento comercial
